insdcAccessionBase	geoLocCountry_main	geoLocAdmin1_main	geoLocAdmin2_main	geoLocCountry_use-pycountry	geoLocAdmin1_use-pycountry	geoLocAdmin2_use-pycountry	geoLocCountry_auspice-curate	geoLocAdmin1_auspice-curate	geoLocAdmin2_auspice-curate
DQ080054	USA	Los Angeles, California		USA	California	Los Angeles	USA	Los Angeles	California
DQ080053	USA	Apache Co., Arizona		USA	Arizona	Apache Co.	USA	Apache Co.	Arizona
DQ080052	USA	Maricopoa Co., Arizona		USA	Arizona	Maricopoa Co.	USA	Maricopoa Co.	Arizona
DQ080051	USA	Cochise Co., Arizona		USA	Arizona	Cochise Co.	USA	Cochise Co.	Arizona
DQ011267	USA			USA			USA		
DQ010357	USA	Suffolk Couunty, NY		USA	New York	Suffolk Couunty	USA	Suffolk Couunty	NY
DQ010356	USA	Suffolk Couunty, NY		USA	New York	Suffolk Couunty	USA	Suffolk Couunty	NY
DQ010355	USA	Suffolk Couunty, NY		USA	New York	Suffolk Couunty	USA	Suffolk Couunty	NY
DQ010354	USA	Suffolk Couunty, NY		USA	New York	Suffolk Couunty	USA	Suffolk Couunty	NY
DQ010353	USA	Suffolk Couunty, NY		USA	New York	Suffolk Couunty	USA	Suffolk Couunty	NY
DQ010352	USA	Suffolk Couunty, NY		USA	New York	Suffolk Couunty	USA	Suffolk Couunty	NY
DQ010351	USA	Suffolk Couunty, NY		USA	New York	Suffolk Couunty	USA	Suffolk Couunty	NY
DQ010350	USA	Suffolk Couunty, NY		USA	New York	Suffolk Couunty	USA	Suffolk Couunty	NY
DQ010349	USA	Suffolk Couunty, NY		USA	New York	Suffolk Couunty	USA	Suffolk Couunty	NY
DQ010348	USA	Suffolk Couunty, NY		USA	New York	Suffolk Couunty	USA	Suffolk Couunty	NY
OQ721263	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
OQ721827	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
DQ010347	USA	Suffolk Couunty, NY		USA	New York	Suffolk Couunty	USA	Suffolk Couunty	NY
DQ010346	USA	Suffolk Couunty, NY		USA	New York	Suffolk Couunty	USA	Suffolk Couunty	NY
DQ010345	USA	Suffolk Couunty, NY		USA	New York	Suffolk Couunty	USA	Suffolk Couunty	NY
DQ010344	USA	Suffolk Couunty, NY		USA	New York	Suffolk Couunty	USA	Suffolk Couunty	NY
OQ721181	USA	Black Hawk, Iowa		USA	Iowa	Black Hawk	USA	Black Hawk	Iowa
DQ010343	USA	Suffolk Couunty, NY		USA	New York	Suffolk Couunty	USA	Suffolk Couunty	NY
OQ721483	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
DQ010342	USA	Suffolk Couunty, NY		USA	New York	Suffolk Couunty	USA	Suffolk Couunty	NY
DQ010340	USA	Suffolk Couunty, NY		USA	New York	Suffolk Couunty	USA	Suffolk Couunty	NY
AY428531	USA	Texas, Orange county		USA	Texas	Orange county	USA	Texas	Orange county
OQ721229	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
AY590242	USA			USA			USA		
AY590210	USA			USA			USA		
AY590209	USA			USA			USA		
AY590208	USA			USA			USA		
AY590207	USA			USA			USA		
AY590206	USA			USA			USA		
ON994910	USA	Brandford,CT		USA	Connecticut	Brandford	USA	Brandford	CT
AY590205	USA			USA			USA		
AY590204	USA			USA			USA		
AY590203	USA			USA			USA		
AY590202	USA			USA			USA		
AY590201	USA			USA			USA		
AY590200	USA			USA			USA		
AY590199	USA			USA			USA		
AY590198	USA			USA			USA		
AY590197	USA			USA			USA		
AY590196	USA			USA			USA		
AY590195	USA			USA			USA		
AY590194	USA			USA			USA		
AY590193	USA			USA			USA		
AY590192	USA			USA			USA		
AY590191	USA			USA			USA		
AY590190	USA			USA			USA		
AY568226	USA	Kansas		USA	Kansas		USA	Kansas	
AY568225	USA	Kansas, Liberal		USA	Kansas	Liberal	USA	Kansas	Seward County KS
AY568224	USA	Kansas, Chapman		USA	Kansas	Chapman	USA	Kansas	Dickinson County KS
AY568223	USA	Kansas, Dodge City		USA	Kansas	Dodge City	USA	Kansas	Ford County KS
AY568222	USA	Kansas		USA	Kansas		USA	Kansas	
AY590211	USA			USA			USA		
AY590243	USA			USA			USA		
AY590212	USA			USA			USA		
AY590214	USA			USA			USA		
AY590241	USA			USA			USA		
AY590240	USA			USA			USA		
AY590239	USA			USA			USA		
AY590238	USA			USA			USA		
AY590237	USA			USA			USA		
AY590236	USA			USA			USA		
AY590235	USA			USA			USA		
AY590234	USA			USA			USA		
AY590233	USA			USA			USA		
AY590232	USA			USA			USA		
AY590231	USA			USA			USA		
AY590230	USA			USA			USA		
AY590229	USA			USA			USA		
AY590228	USA			USA			USA		
AY590227	USA			USA			USA		
AY590226	USA			USA			USA		
AY590225	USA			USA			USA		
AY590224	USA			USA			USA		
AY590223	USA			USA			USA		
AY590222	USA			USA			USA		
AY590221	USA			USA			USA		
AY590220	USA			USA			USA		
AY590219	USA			USA			USA		
AY590218	USA			USA			USA		
AY590217	USA			USA			USA		
AY590216	USA			USA			USA		
AY590215	USA			USA			USA		
AY590213	USA			USA			USA		
OQ721442	USA	Yolo, California		USA	California	Yolo	USA	Yolo	California
OM202916	USA			USA			USA		
EF631123	USA	Illinois, Cook County		USA	Illinois	Cook County	USA	Illinois	Cook County IL
OQ721839	USA	Grant, Washington		USA	Washington	Grant	USA	Grant	Washington
MH507700	USA	Escondido,California		USA	California	Escondido	USA	Escondido	California
MH507701	USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
MH507702	USA	Chula_Vista,California		USA	California	Chula_Vista	USA	Chula_Vista	California
HQ671719	USA	Connecticut		USA	Connecticut		USA	Connecticut	
OQ721601	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
MH507984	USA	Del_Mar,California		USA	California	Del_Mar	USA	Del_Mar	California
MH507985	USA	Escondido,California		USA	California	Escondido	USA	Escondido	California
MH507986	USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
OQ721628	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
MH507987	USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
MG004531	USA	AZ		USA	Arizona		USA	AZ	
OQ721832	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
OQ721799	USA	Sacramento, California		USA	California	Sacramento	USA	Sacramento	California
HQ671718	USA	Connecticut		USA	Connecticut		USA	Connecticut	
OQ721361	USA	Sacramento, California		USA	California	Sacramento	USA	Sacramento	California
OQ721331	USA	Sacramento, California		USA	California	Sacramento	USA	Sacramento	California
OQ721764	USA	Sacramento, California		USA	California	Sacramento	USA	Sacramento	California
OQ721781	USA	Sacramento, California		USA	California	Sacramento	USA	Sacramento	California
HQ671717	USA	Connecticut		USA	Connecticut		USA	Connecticut	
OQ721426	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
MG004534	USA	AZ		USA	Arizona		USA	AZ	
HQ671716	USA	Connecticut		USA	Connecticut		USA	Connecticut	
OQ721502	USA	Sacramento, California		USA	California	Sacramento	USA	Sacramento	California
MH507813	USA	Fresno,California		USA	California	Fresno	USA	Fresno	California
MH507620	USA	Poway,California		USA	California	Poway	USA	Poway	California
OQ721399	USA	Sacramento, California		USA	California	Sacramento	USA	Sacramento	California
OQ721789	USA	Jackson, Oregon		USA	Oregon	Jackson	USA	Jackson	Oregon
OQ721550	USA	Madera, California		USA	California	Madera	USA	Madera	California
OQ721680	USA	Spokane, Washington		USA	Washington	Spokane	USA	Spokane	Washington
OQ721297	USA	Spokane, Washington		USA	Washington	Spokane	USA	Spokane	Washington
KJ501274	USA			USA			USA		
MH507982	USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
MH507983	USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
KJ501269	USA			USA			USA		
KJ501268	USA			USA			USA		
KJ501264	USA			USA			USA		
KJ501249	USA			USA			USA		
KJ501248	USA			USA			USA		
KJ501247	USA			USA			USA		
KJ501246	USA			USA			USA		
KJ501245	USA			USA			USA		
KJ501244	USA			USA			USA		
KJ501243	USA			USA			USA		
KJ501235	USA			USA			USA		
KJ501234	USA			USA			USA		
KJ501233	USA			USA			USA		
KJ145814	USA			USA			USA		
MT968005	USA			USA			USA		
MT968012	USA			USA			USA		
MT968017	USA			USA			USA		
MT968023	USA			USA			USA		
MT968027	USA			USA			USA		
MT968031	USA			USA			USA		
KJ145813	USA			USA			USA		
JF920307	USA	Connecticut		USA	Connecticut		USA	Connecticut	
HQ671736	USA	New York		USA	New York		USA	New York	
OQ721124	USA	Grant, Washington		USA	Washington	Grant	USA	Grant	Washington
OQ721662	USA	Josephine, Oregon		USA	Oregon	Josephine	USA	Josephine	Oregon
KJ501275	USA			USA			USA		
HQ671715	USA	Connecticut		USA	Connecticut		USA	Connecticut	
MH507816	USA	Fresno,California		USA	California	Fresno	USA	Fresno	California
OQ721476	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
OQ721614	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
OQ721824	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
HQ671697	USA	Connecticut		USA	Connecticut		USA	Connecticut	
OQ721702	USA	Sacramento, California		USA	California	Sacramento	USA	Sacramento	California
MH507684	USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
OQ721427	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
OQ721430	USA	Van Buren, Iowa		USA	Iowa	Van Buren	USA	Van Buren	Iowa
OQ721835	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
MH507617	USA	Chula_Vista,California		USA	California	Chula_Vista	USA	Chula_Vista	California
OQ721327	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
OQ721514	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
HQ671696	USA	Connecticut		USA	Connecticut		USA	Connecticut	
HM756663	USA	New York		USA	New York		USA	New York	
MH507685	USA	Coronado,California		USA	California	Coronado	USA	Coronado	California
OQ721129	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
OQ721139	USA	Story, Iowa		USA	Iowa	Story	USA	Story	Iowa
OQ721271	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
OQ721409	USA	Polk, Iowa		USA	Iowa	Polk	USA	Polk	Iowa
OQ721437	USA	Story, Iowa		USA	Iowa	Story	USA	Story	Iowa
OQ721253	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
OQ721461	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
MG004536	USA	AZ		USA	Arizona		USA	AZ	
