insdcAccessionBase	geoLocCountry_main	geoLocAdmin1_main	geoLocAdmin2_main	geoLocCountry_use-pycountry	geoLocAdmin1_use-pycountry	geoLocAdmin2_use-pycountry	geoLocCountry_auspice-curate	geoLocAdmin1_auspice-curate	geoLocAdmin2_auspice-curate
KT589390	Sierra Leone			Sierra Leone			Sierra Leone		
MH607921	Sierra Leone			Sierra Leone			Sierra Leone		
MH607924	Sierra Leone			Sierra Leone			Sierra Leone		
KR105324	Sierra Leone			Sierra Leone			Sierra Leone		
MH607927	Sierra Leone			Sierra Leone			Sierra Leone		
MH607928	Sierra Leone			Sierra Leone			Sierra Leone		
MH607929	Sierra Leone			Sierra Leone			Sierra Leone		
MH607939	Sierra Leone			Sierra Leone			Sierra Leone		
MH607941	Sierra Leone			Sierra Leone			Sierra Leone		
MH607942	Sierra Leone			Sierra Leone			Sierra Leone		
MH607948	Sierra Leone			Sierra Leone			Sierra Leone		
MH607949	Sierra Leone			Sierra Leone			Sierra Leone		
KR105330	Sierra Leone	Pujehun		Sierra Leone		Pujehun	Sierra Leone	Pujehun	
KR105331	Sierra Leone	Bo		Sierra Leone		Bo	Sierra Leone	Bo	
KM233055	Sierra Leone			Sierra Leone			Sierra Leone		
KM233054	Sierra Leone			Sierra Leone			Sierra Leone		
KR653291	Sierra Leone	Bo		Sierra Leone		Bo	Sierra Leone	Bo	
MH607937	Sierra Leone			Sierra Leone			Sierra Leone		
MH607938	Sierra Leone			Sierra Leone			Sierra Leone		
MH607940	Sierra Leone			Sierra Leone			Sierra Leone		
MH607953	Sierra Leone			Sierra Leone			Sierra Leone		
MH607955	Sierra Leone			Sierra Leone			Sierra Leone		
MH607936	Sierra Leone			Sierra Leone			Sierra Leone		
KM233056	Sierra Leone			Sierra Leone			Sierra Leone		
KR653305	Sierra Leone	Moyamba		Sierra Leone		Moyamba	Sierra Leone	Moyamba	
KM233047	Sierra Leone			Sierra Leone			Sierra Leone		
MH607930	Sierra Leone			Sierra Leone			Sierra Leone		
MH607931	Sierra Leone			Sierra Leone			Sierra Leone		
MH607932	Sierra Leone			Sierra Leone			Sierra Leone		
MH607933	Sierra Leone			Sierra Leone			Sierra Leone		
MH607934	Sierra Leone			Sierra Leone			Sierra Leone		
MH607943	Sierra Leone			Sierra Leone			Sierra Leone		
MH607944	Sierra Leone			Sierra Leone			Sierra Leone		
KR105320	Sierra Leone	Moyamba		Sierra Leone		Moyamba	Sierra Leone	Moyamba	
MH607945	Sierra Leone			Sierra Leone			Sierra Leone		
MH607947	Sierra Leone			Sierra Leone			Sierra Leone		
MH607959	Sierra Leone			Sierra Leone			Sierra Leone		
KR105328	Sierra Leone	Moyamba		Sierra Leone		Moyamba	Sierra Leone	Moyamba	
KR105329	Sierra Leone	Moyamba		Sierra Leone		Moyamba	Sierra Leone	Moyamba	
KM233048	Sierra Leone			Sierra Leone			Sierra Leone		
KR653244	Sierra Leone	Pujehun		Sierra Leone		Pujehun	Sierra Leone	Pujehun	
KR653250	Sierra Leone	Moyamba		Sierra Leone		Moyamba	Sierra Leone	Moyamba	
MH607946	Sierra Leone			Sierra Leone			Sierra Leone		
KM233102	Sierra Leone			Sierra Leone			Sierra Leone		
MH607920	Sierra Leone			Sierra Leone			Sierra Leone		
KM233064	Sierra Leone			Sierra Leone			Sierra Leone		
KR653263	Sierra Leone	Kailahun		Sierra Leone		Kailahun	Sierra Leone	Kailahun	
KM233094	Sierra Leone			Sierra Leone			Sierra Leone		
MH607910	Sierra Leone			Sierra Leone			Sierra Leone		
MH607911	Sierra Leone			Sierra Leone			Sierra Leone		
MH607912	Sierra Leone			Sierra Leone			Sierra Leone		
MH607913	Sierra Leone			Sierra Leone			Sierra Leone		
KM233093	Sierra Leone			Sierra Leone			Sierra Leone		
KM233092	Sierra Leone			Sierra Leone			Sierra Leone		
KM233091	Sierra Leone			Sierra Leone			Sierra Leone		
KM233090	Sierra Leone			Sierra Leone			Sierra Leone		
KR653278	Sierra Leone	Kenema		Sierra Leone		Kenema	Sierra Leone	Kenema	
KT589389	Sierra Leone			Sierra Leone			Sierra Leone		
KM233089	Sierra Leone			Sierra Leone			Sierra Leone		
KM233087	Sierra Leone			Sierra Leone			Sierra Leone		
KM233086	Sierra Leone			Sierra Leone			Sierra Leone		
KR105309	Sierra Leone	Kono		Sierra Leone		Kono	Sierra Leone	Kono	
MH607915	Sierra Leone			Sierra Leone			Sierra Leone		
KR105308	Sierra Leone	Kenema		Sierra Leone		Kenema	Sierra Leone	Kenema	
MH607908	Sierra Leone			Sierra Leone			Sierra Leone		
KM233100	Sierra Leone			Sierra Leone			Sierra Leone		
KM233098	Sierra Leone			Sierra Leone			Sierra Leone		
KR653279	Sierra Leone	Kono		Sierra Leone		Kono	Sierra Leone	Kono	
KR653246	Sierra Leone	Tonkolili		Sierra Leone		Tonkolili	Sierra Leone	Tonkolili	
KR653287	Sierra Leone	Moyamba		Sierra Leone		Moyamba	Sierra Leone	Moyamba	
MH607904	Sierra Leone			Sierra Leone			Sierra Leone		
MH607905	Sierra Leone			Sierra Leone			Sierra Leone		
MH607906	Sierra Leone			Sierra Leone			Sierra Leone		
KR105307	Sierra Leone	Moyamba		Sierra Leone		Moyamba	Sierra Leone	Moyamba	
KR653235	Sierra Leone	Kenema		Sierra Leone		Kenema	Sierra Leone	Kenema	
KM233068	Sierra Leone			Sierra Leone			Sierra Leone		
KM233097	Sierra Leone			Sierra Leone			Sierra Leone		
KM233096	Sierra Leone			Sierra Leone			Sierra Leone		
KM233095	Sierra Leone			Sierra Leone			Sierra Leone		
MH607907	Sierra Leone			Sierra Leone			Sierra Leone		
MH607909	Sierra Leone			Sierra Leone			Sierra Leone		
KR105310	Sierra Leone	Kenema		Sierra Leone		Kenema	Sierra Leone	Kenema	
KR105311	Sierra Leone	Kenema		Sierra Leone		Kenema	Sierra Leone	Kenema	
KM233085	Sierra Leone			Sierra Leone			Sierra Leone		
KR105317	Sierra Leone	Kenema		Sierra Leone		Kenema	Sierra Leone	Kenema	
KR817229	Sierra Leone			Sierra Leone			Sierra Leone		
KM233067	Sierra Leone			Sierra Leone			Sierra Leone		
KM233076	Sierra Leone			Sierra Leone			Sierra Leone		
KM233075	Sierra Leone			Sierra Leone			Sierra Leone		
KM233074	Sierra Leone			Sierra Leone			Sierra Leone		
KM233073	Sierra Leone			Sierra Leone			Sierra Leone		
KY401662	Sierra Leone			Sierra Leone			Sierra Leone		
KM233072	Sierra Leone			Sierra Leone			Sierra Leone		
